国内/海外,站点名称,聚合参数,,区域名称,全量库,区域source,主帖/回帖,,,输入,,输出,爬虫入参,item_id开发优先级,主贴爬虫姿势,爬虫种子,,,,,,
,,,,,,,,,,,input,,,,,,,,,,,
,,app_id,scope_id,,,,site_id,site_name,cat_id,,,,,,,主回帖,主贴,互动量,评论,用户信息,商品信息,店铺信息
国内,新华网,99,80,-,,,,,,关键词,,"主帖,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,互动量",full_url,,"{""full_url"":""%s"",""crawler"":20175,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,库街区,101,83,-,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""GLOBAL_UNIQUE_ON"":""false"",""full_url"":""%s"",""runType"":""0"",""crawler"":""100610079""}",,,,,,,
国内,,,,,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,指定板块ID,,"主帖,评论,互动量",,,,,,,,,,
国内,懂球帝,102,84,-,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610088,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,新出行,103,85,点评,,,,,,指定车系,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""full_url"":""%s"",""crawler"":100610125,""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,86,新闻,,,,,,关键词,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,uid,,"主帖,评论,互动量",,,,,,,,,,
国内,,,,,,,,,,单帖url,,"主帖,评论,互动量",full_url,,"{""crawler"":""1126893"",""full_url"":""%s"",""GLOBAL_UNIQUE_ON"":""false""}",,,,,,,
国内,,,87,论坛,,,,,,指定板块（名称）,,"主帖,评论,互动量",,,,,,,,,,
